segment_id,profile_id,in_train,label_kmeans,label_gmm,label_hdbscan,label_kmedoids_dtw
58_591,58,False,1,1,-1,1
58_592,58,False,1,1,-1,1
58_593,58,False,1,1,-1,1
58_594,58,False,1,1,-1,1
58_595,58,False,1,1,-1,1
58_596,58,False,1,1,-1,1
58_597,58,False,1,1,-1,1
58_598,58,False,0,1,-1,0
58_599,58,False,1,1,-1,0
58_600,58,False,1,1,1,0
59_601,59,False,0,2,-1,1
59_602,59,False,1,2,-1,0
59_603,59,False,1,1,-1,0
59_604,59,False,1,1,-1,0
59_605,59,False,1,1,-1,0
59_606,59,False,0,2,-1,0
59_607,59,False,0,2,-1,0
59_608,59,False,0,2,-1,0
59_609,59,False,0,1,-1,1
59_610,59,False,1,1,-1,1
59_611,59,False,0,2,-1,1
59_612,59,False,1,1,-1,1
59_613,59,False,0,1,-1,1
59_614,59,False,1,1,-1,1
59_615,59,False,1,1,-1,1
59_616,59,False,1,1,-1,0
60_617,60,True,0,2,-1,1
60_618,60,True,0,2,0,0
60_619,60,True,0,1,-1,1
60_620,60,True,1,1,-1,1
60_621,60,True,0,2,0,1
60_622,60,True,0,2,-1,0
60_623,60,True,0,1,-1,1
60_624,60,True,0,2,-1,1
60_625,60,True,0,2,-1,1
60_626,60,True,1,0,2,1
60_627,60,True,0,2,0,0
60_628,60,True,0,1,-1,1
60_629,60,True,1,1,-1,1
60_630,60,True,0,2,0,1
60_631,60,True,0,2,-1,0
60_632,60,True,0,1,-1,1
60_633,60,True,0,2,-1,1
60_634,60,True,0,2,-1,1
61_635,61,True,0,2,0,0
61_636,61,True,0,1,-1,1
61_637,61,True,0,2,-1,0
61_638,61,True,0,1,-1,1
61_639,61,True,0,2,-1,0
61_640,61,True,1,1,-1,1
61_641,61,True,1,2,-1,0
61_642,61,True,0,2,-1,0
61_643,61,True,0,2,-1,1
61_644,61,True,0,2,0,1
61_645,61,True,0,2,-1,0
61_646,61,True,0,2,0,1
61_647,61,True,1,0,2,1
61_648,61,True,0,2,0,0
61_649,61,True,0,1,-1,1
61_650,61,True,0,2,-1,1
61_651,61,True,1,2,-1,0
61_652,61,True,1,1,-1,1
61_653,61,True,0,2,-1,0
61_654,61,True,0,2,-1,1
61_655,61,True,0,2,-1,1
61_656,61,True,0,2,0,1
61_657,61,True,0,2,-1,0
61_658,61,True,0,2,-1,1
62_659,62,True,0,2,-1,1
62_660,62,True,0,2,0,1
62_661,62,True,0,2,-1,0
62_662,62,True,1,2,-1,0
62_663,62,True,0,2,-1,0
62_664,62,True,0,2,-1,1
62_665,62,True,1,1,-1,1
62_666,62,True,0,2,-1,0
62_667,62,True,0,2,0,0
62_668,62,True,0,2,0,1
62_669,62,True,0,2,-1,0
62_670,62,True,0,1,-1,1
62_671,62,True,1,1,-1,1
62_672,62,True,0,2,-1,0
62_673,62,True,0,1,-1,1
62_674,62,True,1,0,-1,1
63_675,63,True,0,2,-1,1
63_676,63,True,0,2,0,0
63_677,63,True,0,2,0,1
63_678,63,True,0,2,-1,1
63_679,63,True,0,2,0,0
63_680,63,True,0,2,-1,1
63_681,63,True,0,2,-1,0
63_682,63,True,0,2,-1,1
63_683,63,True,1,0,2,1
63_684,63,True,1,2,-1,0
63_685,63,True,1,2,-1,0
63_686,63,True,1,2,-1,0
63_687,63,True,1,1,2,0
63_688,63,True,0,2,-1,0
63_689,63,True,0,1,-1,0
63_690,63,True,1,1,-1,1
63_691,63,True,0,1,-1,1
63_692,63,True,0,1,-1,1
63_693,63,True,1,1,-1,1
63_694,63,True,1,1,2,1
63_695,63,True,1,1,-1,1
63_696,63,True,1,1,2,1
63_697,63,True,1,1,2,1
63_698,63,True,1,0,2,1
64_699,64,True,0,2,-1,1
64_700,64,True,0,2,0,0
64_701,64,True,0,2,0,1
64_702,64,True,0,2,-1,1
64_703,64,True,0,2,0,0
64_704,64,True,0,2,-1,1
64_705,64,True,0,2,-1,0
64_706,64,True,0,2,-1,1
64_707,64,True,1,0,2,1
65_708,65,False,0,2,0,1
65_709,65,False,0,2,0,0
65_710,65,False,0,2,-1,1
65_711,65,False,0,2,0,1
65_712,65,False,0,2,-1,1
65_713,65,False,0,2,-1,0
65_714,65,False,0,1,-1,1
65_715,65,False,0,2,-1,1
65_716,65,False,0,2,-1,0
65_717,65,False,0,2,-1,1
65_718,65,False,0,2,0,0
65_719,65,False,0,2,-1,1
65_720,65,False,0,2,0,0
65_721,65,False,0,2,-1,1
65_722,65,False,0,2,-1,0
65_723,65,False,0,2,-1,1
65_724,65,False,0,2,-1,1
65_725,65,False,0,2,-1,0
65_726,65,False,0,1,2,1
65_727,65,False,0,2,-1,0
65_728,65,False,0,2,-1,1
65_729,65,False,0,2,-1,0
65_730,65,False,0,2,-1,1
65_731,65,False,0,2,-1,0
65_732,65,False,1,0,-1,1
65_733,65,False,0,2,-1,1
65_734,65,False,1,1,2,1
65_735,65,False,1,1,2,1
65_736,65,False,1,1,-1,0
65_737,65,False,1,1,-1,0
65_738,65,False,1,1,2,1
65_739,65,False,1,1,2,1
65_740,65,False,1,1,-1,1
65_741,65,False,1,1,-1,1
65_742,65,False,1,1,-1,1
65_743,65,False,1,1,-1,0
65_744,65,False,1,1,-1,0
65_745,65,False,1,1,2,1
65_746,65,False,1,1,2,1
65_747,65,False,1,1,-1,1
65_748,65,False,1,1,-1,1
65_749,65,False,1,1,-1,1
65_750,65,False,1,1,-1,1
65_751,65,False,1,1,-1,1
65_752,65,False,1,1,-1,1
65_753,65,False,1,1,-1,1
65_754,65,False,1,1,-1,1
65_755,65,False,1,1,-1,1
66_756,66,True,0,2,0,0
66_757,66,True,0,2,-1,1
66_758,66,True,0,2,0,0
66_759,66,True,0,1,-1,1
66_760,66,True,0,2,-1,0
66_761,66,True,0,1,-1,1
66_762,66,True,0,2,0,1
66_763,66,True,1,0,-1,1
66_764,66,True,1,1,2,1
66_765,66,True,1,1,2,1
66_766,66,True,1,1,2,1
66_767,66,True,1,1,2,1
66_768,66,True,1,1,2,1
66_769,66,True,1,1,-1,1
66_770,66,True,1,1,2,1
66_771,66,True,1,1,2,1
66_772,66,True,0,2,-1,1
66_773,66,True,0,1,-1,0
66_774,66,True,1,1,-1,0
66_775,66,True,1,1,2,1
66_776,66,True,0,1,-1,1
66_777,66,True,0,1,-1,1
66_778,66,True,0,1,2,1
66_779,66,True,1,1,-1,0
66_780,66,True,1,1,-1,1
66_781,66,True,1,1,-1,0
66_782,66,True,0,1,-1,0
66_783,66,True,1,1,-1,0
66_784,66,True,1,1,-1,0
66_785,66,True,1,1,-1,0
66_786,66,True,1,1,-1,1
66_787,66,True,1,1,-1,1
66_788,66,True,1,1,-1,0
66_789,66,True,1,1,-1,1
66_790,66,True,1,1,-1,0
66_791,66,True,0,2,-1,0
66_792,66,True,1,0,2,1
67_793,67,False,0,2,-1,1
67_794,67,False,0,2,0,1
67_795,67,False,0,2,-1,0
67_796,67,False,1,2,-1,0
67_797,67,False,0,2,-1,0
67_798,67,False,0,2,-1,1
67_799,67,False,1,1,-1,1
67_800,67,False,0,2,-1,0
67_801,67,False,0,2,0,0
67_802,67,False,0,2,0,1
67_803,67,False,0,2,-1,0
67_804,67,False,0,1,-1,1
67_805,67,False,1,1,-1,1
67_806,67,False,0,2,-1,0
67_807,67,False,0,1,-1,1
67_808,67,False,1,0,2,1
68_809,68,True,1,1,-1,1
68_810,68,True,0,2,-1,0
68_811,68,True,0,2,-1,1
68_812,68,True,0,2,-1,0
68_813,68,True,0,2,-1,1
68_814,68,True,1,1,-1,1
68_815,68,True,0,2,-1,0
68_816,68,True,1,1,-1,1
68_817,68,True,0,2,-1,1
68_818,68,True,0,2,0,0
68_819,68,True,0,2,0,1
68_820,68,True,1,2,-1,0
68_821,68,True,0,2,-1,1
68_822,68,True,0,2,0,1
68_823,68,True,1,2,-1,1
68_824,68,True,0,2,-1,1
68_825,68,True,0,2,-1,1
68_826,68,True,0,2,-1,1
